Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
ymdb,L-Leucine-p1,C6H13NO2,[M-H]-,-1,130.0874,-1,131.8
ymdb,L-Lysine-p1,C6H14N2O2,[M+H]+,1,147.1128,1,131.5
ymdb,L-Lysine-p1,C6H14N2O2,[M-H]-,-1,145.0987,-1,135.9
ymdb,L-Methionine-p1,C5H11NO2S,[M+H]+,1,150.0583,1,133.6
ymdb,L-Methionine-p1,C5H11NO2S,[M-H]-,-1,148.0432,-1,140.5
ymdb,L-Phenylalanine-p1,C9H11NO2,[M+H]+,1,166.0863,1,140.8
ymdb,L-Phenylalanine-p1,C9H11NO2,[M-H]-,-1,164.0717,-1,140.6
ymdb,L-Proline-p1,C5H9NO2,[M+H]+,1,116.0706,1,125.8
ymdb,L-Proline-p1,C5H9NO2,[M-H]-,-1,114.0564,-1,125.1
ymdb,L-Serine-p1,C3H7NO3,[M-H]-,-1,104.0348,-1,136.2
ymdb,L-Threonine-p1,C4H9NO3,[M+H]+,1,120.0661,1,127.3
ymdb,L-Threonine-p1,C4H9NO3,[M-H]-,-1,118.0504,-1,129.2
ymdb,L-Tryptophan-p1,C11H12N2O2,[M+H]+,1,205.0964,1,151.3
ymdb,L-Tryptophan-p1,C11H12N2O2,[M-H]-,-1,203.084,-1,149.1
ymdb,L-Tyrosine-p1,C9H11NO3,[M+H]+,1,182.0812,1,146.0
ymdb,L-Tyrosine-p1,C9H11NO3,[M-H]-,-1,180.0666,-1,145.0
ymdb,L-Valine-p1,C5H11NO2,[M+H]+,1,118.0868,1,120.8
ymdb,L-Valine-p1,C5H11NO2,[M-H]-,-1,116.0712,-1,124.9
ymdb,L-arabinitol-p1,C5H12O5,[M-H]-,-1,151.061,-1,125.2
ymdb,"L-gulono-1,4-lactone-p1",C6H10O6,[M-H]-,-1,177.0396,-1,129.9
ymdb,Melibiose-p1,C12H22O11,[M+H]+,1,343.1231,1,180.3
ymdb,Melibiose-p1,C12H22O11,[M-H]-,-1,341.1076,-1,178.0
ymdb,Myoinositol-p1,C6H12O6,[M-H]-,-1,179.0552,-1,131.5
ymdb,Myricetin-p1,C15H10O8,[M+H]+,1,319.0454,1,192.7
ymdb,N(pros)-methyl-L-histidine-p1,C7H11N3O2,[M+H]+,1,170.0929,1,135.7
ymdb,N(pros)-methyl-L-histidine-p1,C7H11N3O2,[M-H]-,-1,168.0773,-1,141.1
ymdb,N-Acetyl-DL-serine-p1,C5H9NO4,[M-H]-,-1,146.046,-1,127.5
ymdb,N-Acetylputrescine-p1,C6H14N2O,[M+H]+,1,131.1179,1,128.4
ymdb,N-acetyl-D-tryptophan-p1,C13H14N2O3,[M+H]+,1,247.1083,1,154.7
ymdb,N-acetyl-D-tryptophan-p1,C13H14N2O3,[M-H]-,-1,245.0926,-1,161.4
ymdb,N-acetyl-L-glutamic acid-p1,C7H11NO5,[M-H]-,-1,188.0563,-1,137.0
ymdb,N1-Acetylspermine-p1,C12H28N4O,[M+H]+,1,245.2342,1,158.1
ymdb,NAD-p1,C21H27N7O14P2,[M+H]+,1,664.1143,1,227.7
ymdb,NAD-p1,C21H27N7O14P2,[M-H]-,-1,662.107,-1,225.2
ymdb,NADP-p1,C21H28N7O17P3,[M+H]+,1,744.0791,1,232.7
ymdb,NADP-p1,C21H28N7O17P3,[M-H]-,-1,742.0697,-1,230.7
ymdb,NADPH-p1,C21H30N7O17P3,[M+H]+,1,746.0989,1,232.4
ymdb,NADPH-p1,C21H30N7O17P3,[M-H]-,-1,744.0837,-1,246.7
ymdb,Niacinamide-p1,C6H6N2O,[M+H]+,1,123.0557,1,126.7
ymdb,Nicotinamide ribotide-p1,C11H15N2O8P,[M+H]+,1,335.0628,1,165.8
ymdb,Nicotinic acid-p1,C6H5NO2,[M+H]+,1,124.0407,1,123.9
ymdb,Nicotinic acid-p1,C6H5NO2,[M-H]-,-1,122.0271,-1,121.3
ymdb,Norleucine-p1,C6H13NO2,[M+H]+,1,132.1024,1,136.4
ymdb,Norleucine-p1,C6H13NO2,[M-H]-,-1,130.0875,-1,132.2
ymdb,O-Phospho-L-serine-p1,C3H8NO6P,[M-H]-,-1,184.0022,-1,127.8
ymdb,O-Phosphoethanolamine-p1,C2H8NO4P,[M-H]-,-1,140.0126,-1,123.4
ymdb,O-Succinyl-L-homoserine-p1,C8H13NO6,[M+H]+,1,220.0798,1,146.2
ymdb,O-acetyl-L-serine-p1,C5H9NO4,[M+H]+,1,148.0602,1,130.5
ymdb,Oleic acid-p1,C18H34O2,[M-H]-,-1,281.2486,-1,176.2
ymdb,Orotic acid-p1,C5H4N2O4,[M+H]+,1,157.0249,1,138.0
ymdb,Orotic acid-p1,C5H4N2O4,[M-H]-,-1,155.0112,-1,121.7
ymdb,Oxoadipic acid-p1,C6H8O5,[M-H]-,-1,159.0292,-1,126.8
ymdb,Oxoglutaric acid-p1,C5H6O5,[M-H]-,-1,145.0137,-1,125.2
ymdb,PC(12:0/12:0)-p1,C32H64NO8P,[M+H]+,1,622.4448,1,260.6
ymdb,PC(14:0/0:0)-p1,C22H46NO7P,[M+H]+,1,468.309,1,220.8
ymdb,PC(14:0/14:0)-p1,C36H72NO8P,[M+H]+,1,678.5074,1,272.5
ymdb,PC(16:0/0:0)-p1,C24H50NO7P,[M+H]+,1,496.3403,1,231.4
ymdb,PC(16:0/16:0)-p1,C40H80NO8P,[M+H]+,1,734.5699,1,284.6
ymdb,PC(18:0/18:0)-p1,C44H88NO8P,[M+H]+,1,790.6325,1,297.6
ymdb,PC(18:1(9Z)/0:0)-p1,C26H52NO7P,[M+H]+,1,522.3559,1,233.2
ymdb,PE(10:0/10:0)-p1,C25H50NO8P,[M+H]+,1,524.3352,1,235.4
ymdb,PE(10:0/10:0)-p1,C25H50NO8P,[M-H]-,-1,522.3196,-1,225.9
ymdb,PE(12:0/12:0)-p1,C29H58NO8P,[M+H]+,1,580.3978,1,248.8
ymdb,PE(12:0/12:0)-p1,C29H58NO8P,[M-H]-,-1,578.3822,-1,238.5
ymdb,PE(14:0/14:0)-p1,C33H66NO8P,[M+H]+,1,636.4604,1,261.2
ymdb,PE(14:0/14:0)-p1,C33H66NO8P,[M-H]-,-1,634.4448,-1,250.8
ymdb,PE(15:0/15:0)-p1,C35H70NO8P,[M+H]+,1,664.4917,1,267.3
ymdb,PE(15:0/15:0)-p1,C35H70NO8P,[M-H]-,-1,662.4761,-1,256.3
ymdb,PE(16:0/16:0)-p1,C37H74NO8P,[M+H]+,1,692.523,1,274.1
ymdb,PE(16:0/16:0)-p1,C37H74NO8P,[M-H]-,-1,690.5074,-1,262.5
ymdb,PE(16:0/18:1(9Z))-p1,C39H76NO8P,[M+H]+,1,718.5387,1,275.8
